ProductName,Code,UnitPrice,CategoryName,SupplierName
Product1,P001,560.23,Phones,Supplier1
Product2,P002,453.15,Tablets,Supplier2
Product3,P003,639.97,Laptops,Supplier3
Product4,P004,789.50,Cameras,Supplier4
Product5,P005,999.88,Printers,Supplier5
Product6,P006,109.56,Headphones,Supplier6
Product7,P007,313.22,Speakers,Supplier7
Product8,P008,232.11,Keyboards,Supplier8
Product9,P009,120.56,Mice,Supplier9
Product10,P010,850.90,Monitors,Supplier10
Product11,P011,690.13,Phones,Supplier11
Product12,P012,540.67,Tablets,Supplier12
Product13,P013,715.72,Laptops,Supplier13
Product14,P014,395.47,Cameras,Supplier14
Product15,P015,420.36,Printers,Supplier15
Product16,P016,140.89,Headphones,Supplier1
Product17,P017,499.55,Speakers,Supplier2
Product18,P018,55.77,Keyboards,Supplier3
Product19,P019,130.90,Mice,Supplier4
Product20,P020,920.34,Monitors,Supplier5
